account,secretkey,apikey,userid,pwd,uid
maple_001_test0@coinwdevmaple.com,FIRFDLEO809EXDBLOKM7MB3EQI5WV8OXBBD8,c47d617b-b977-4954-af1a-f596552ccb25,600016931,1qaz@WSX,123148194
maple_001_test1@coinwdevmaple.com,NPST977E8RCQQUG4ORU6IGAGUE0GKOGKDSQR,c247ab97-8fed-4862-8fcd-5ebdf66a2825,600016932,1qaz@WSX,123148195
maple_001_test2@coinwdevmaple.com,4EE73LKIVTPGEFI5BP2PLYGYZSWKLGWI3TQO,da494e48-13a7-4d7e-b858-5299a34c98f0,600016933,1qaz@WSX,123148196
maple_001_test3@coinwdevmaple.com,HUTWCR5G9QXO8ZPGFWCCGFXK0XOTAI462LLY,393bad2f-76f9-47e5-9d4e-9aafe49de1c5,600016934,1qaz@WSX,123148197
maple_001_test4@coinwdevmaple.com,FXGZXWKDHEIRGYSHBWXCL8LYF0KNZYMPOZYG,fbb1eaf6-5095-401d-a5f6-a41046f5627f,600016935,1qaz@WSX,123148198
maple_001_test5@coinwdevmaple.com,HPKLEGKIRVVUKPKECMUTWAEZKVPYWLOZOEKG,eaaeefcb-5fe2-47e4-ade2-94e6f6ececce,600016936,1qaz@WSX,123148199
maple_001_test6@coinwdevmaple.com,HYWSLVPIKXWORWLICWSRGZGRR1A9XDWSWG1F,6f4bcd06-9316-4112-a6f4-0cb9dfdd1333,600016937,1qaz@WSX,123148200
maple_001_test7@coinwdevmaple.com,FROFKVXOOLHXAAUZGFGTUS3A82NGX9IPBROL,808e2e87-b233-42d7-902d-8171c8c8afb6,600016938,1qaz@WSX,123148201
maple_001_test8@coinwdevmaple.com,Z7C2OROTXENFLZMZ4COKSXHIBLQVZLUIHEAB,923203ab-4d6e-4595-8f00-61acf44683ea,600016939,1qaz@WSX,123148202
maple_001_test9@coinwdevmaple.com,ELDFXTMRKIWDZNWVCG27GORBLFLCMTM3A4I4,01e738db-48f6-402b-8e9d-45f432f61b6d,600016940,1qaz@WSX,123148203
